"","text"
"113","furlough money  m  right jack  many   middle classes  voted     able  w "
"114","   sob  entire way home  work maybe"
"115","re covid vaccination teachers  admins   grocery workers grocers  less insurance e "
"116"," m ready  come home  work   home cooked meal   babe  gotta find one"
"117","work  home     "
"118","wife brought home food  kids   last night  work  ll   tap  one   soon   "
"119","masks   great literally  one   subway could tell   bawling  fucking face    way home  work tonight yay"
"120","boutta start making beats every night  get home  work   fun"
"121","  exhausting  virtually impossible  work  home   c "
"122","  came home  work   tell   like  bullshit      accuses      "
"123"," love     snowing   way home  work    "
"124"," work  home posture   like"
"125","made intense eye contact   girl waiting outside  line   bar   walk home  work   think  f "
"126"," discovered today   saddest part  still   able  taste  smell    couldn  smell  "
"127"," super grateful right     educators  work extra hard  educate  next generation ii  essential work "
"128","check    home work outs   "
"129"," company   hiring freeze   moment   m waiting    get paid pretty damn well  bei "
"130","list   work  home"
"131","came home  work amp met  room clean amp  bf laying   bed    "
"132","okokok time  go work    make dinner  kat   dinner  shes home  wrok sooon"
"133","  ve  teaching remotely  home since march    recently  working  boundary setting   "
"134","   know   may   made  home   months ago  getting close  partnership   thi "
"135"," intro guys   amritha  kerala actually   got settled   australia  marrying  came  aus f "
"136"," reply    good morning texts  night   get home  work"
"137","technician   fasten things  might   fucking problem    around breaking connections   "
"138","anyway   best friend want  get home  work already  pay fucking attention     "
"139"," got home  work   dolph pumping     gym"
"140"," m  exhausted  going  grocery store  anxiety  threw  roof  try "
"141"," might  something like   ll need  check   bits box   get home  work though"
"142"," got home  work  yeah  ll give   go       helping couple people       "
"143","      havent even   chance  listen   album yet   got home  work"
"144"," m  tired   time  m back home  work    eat dinner bath  talk   boyfriend  mins  sleep"
"145","australia  tribez retweet  win food poisoning air vehicles fart okcupid work  home facebook went filet mignon c "
"146"," know  left leaning work  home wonks   really proud    supporting  minimum wage   "
"147","oh     working  work  home mmmkay"
"148"," get home  work around like   want     later sets"
"149"," hope  story   media tells today re  photo op visit   airport     launched  expensi "
"150","people applied   state  hawaii  remote work program people applied  get  free trip  haw "
"151","fifth harmony ty dolla ign work  home feat ty dolla ign"
"152"," brought  plant home  work bc    struggling    bf looked   cat  said   really brought ano "
"153"," doesn   establishment  admit   entire lockdown   political ploy  destroy  econ "
"154","weeks eh b "
"155","    understand   work  home  fifth harmony didn  go number one    "
"156","got home  work saw    took  jog   good sir"
"157","first work  home  wait  line  home"
"158","hiii  would love  hear    d  jamming lik "
"159","  like hey   x amount  money   date   date    quarantining noth "
"160","   work overtime   genuinely     resilience      office  work  home party tonight  "
"161","  news  boyfriend  coming home  work today   shein order   "
"162","  toking    friend  garage one summer afternoon  high school  everyone fell "
"163","  work  home     mom    watch  game       "
"164","got home     morning  work  get  least  next days  work  pay   covid test n "
"165"," data cap  ridiculous especially  work  home    house   regularly hit tb  "
"166","decided  pick   booster pack   way home  work  target   glad   one pack magic"
"167","work  home data entry jobs part time jobs online jobs data entry work  home jobs typing job"
"168"," therapist  worked  opted  continue  work  giving birth prematurely   could save "
"169"," work  school guess  many assignments  got done today working  home"
"170","  stokoe hours late  work today   works  home   "
"171","  zero exposure   fully paid  work  home  cannot  "
"172"," da fuck    getting vaccinated   re  younger     work  home lmao"
"173"," seriously came home  work  decided  shovel   parking spots  front   town house   "
"174","still available   work  x  postcard johnny ten hendery jisung group     ten yangyang   home taeil haechan chenle"
"175"," thought   going  come home  work   chores   joke   "
"176","crucially    things    achieve working  home  therefore travelling  "
"177","typical dems want  teach  home indefinitely  get paid full boat get  shot get back  wo "
"178",""
"179","lol     finest moment    thank goodness  work  home since covid  raccoon look   "
"180","went home  work early   take  fat nap bc  bitch   sick af "
"181"," monster graduated puppy class tonight    less  hours  peeing   bed    "
"182","y  stay home  work   snows    stay away   club   pandemic"
"183"," job ain  letting us work  home     like        "
"184","hey yall   m building  ig    work  home     first paid post     big deal   lol "
"185","due   impending weather newport school district  operate virtually  tuesday january students  complete "
"186","work amp school  home  actually  blessing"
"187","literally  school counselling  home   best   reason  back  work  commuting "
"188"," moon shining bright  downtown winnipeg   way home  work today"
"189"," m   rural town called cala   eastern cape  work  home due  lockdown   bad networ "
"190","thank god  work sort  kinda  home family owned business      walk   another  "
