"","text"
"487","quinn says k employees  asked  work  home    dangers stemming   civil unrest   absolutel "
"488"," really walked home  work last night hr  mins  felt super good    guess    today  "
"489","exactly people would  willing  commute    work  hom "
"490"," think  changed shirts  coming home  work"
"491"," m  writer     even form  functional sentence   current work  months   "
"492"," something different   hair today   felt cute  come home  work   husband says  god  hap "
"493","come home  work  get right  work   laptop   means   degree       "
"494"," come home  work  eat  many peanuts bc  m hungry    tummy hurts"
"495","  send    work  kids  school    work  home whilst others mix  "
"496"," problem   wanna work  home forever"
"497"," unlocked  new work  home   partner achievement today  significant  overheard  conversatio "
"498"," poor roommate   first snow day today  got stuck coming home  work       "
"499"," working  home  practically  year   drained unmotivated uninterested     care  work     point"
"500","finally  made  home  work"
"501","working  home remember take breaks  shopping     work    shopping begin eac "
"502","open po nct make  wish  home  love work  md postcard photoset smartphone deco trading card lugg "
"503","counting   days till  get  work  home   "
"504","yeah    drive  crazy busy road  workin "
"505","got  first shot today    healthcare worker  cannot work  home  bet mn  qualify       "
"506"," ever come home  work  get  baked   pull   zip  hoodie asking   friend"
"507","    face mask cream left  home  snapchat filter   next best thing right nope lol      gal "
"508"," coworker said   gonna buy flowers   wife   way home  work            "
"509"," work   far    always forget     m home   m upset      wanna see  kitties         "
"510","working  home  starting  fall apart top bankers warn"
"511"," want another job  work  home jobs    travel   laptop   one     two deskt "
"512","felt sick  day   stayed home  work apparently allergen numbers   crazy high though  hopefully  "
"513","moved   front   line  told    vaccines available  also   completely  "
"514"," got home  work   ll  live  pm cst"
"515","looks like  m walking home  work"
"516","nss open preorder nct make  wish  home  love work  md postcard photoset smartphone deco trading c "
"517"," think  season two  updates   bigger plus rare    work  home "
"518"," governor said  may ease restrictions   fall  m trying  go  colorado   want "
"519"," m    immunosuppressant drug   returned   completely unable   anything   "
"520","ok nd day  ring fit adventure  legs   o r e thank god  work  home"
"521"," heartbreaking   surprising  directly affects  family key worker husband   work colleagues "
"522","another safe drive home  work drive safe man  watched people die today"
"523"," takes   long  get home  work   traffic    slowly destroying  soul       "
"524"," launched  website  home   campaign  tackle systemic racism   charity sector   place  host "
"525","     ve   anywhere  wasn   supermarket smiths  fish n chip van   pharmacy "
"526","ordered grubhub forgot  change  address  work  home used  option  message driver hope  gets   "
"527"," got home  work today  chose violence  wish  covid deniers  terrible day"
"528","thinking   fact   live  ten minute walk  one   biggest vaccination sites  sf   "
"529","new suburban homes   area built   separate office  work  home pretty smart  price though"
"530","nct make  wish  home  love work  md postcard photoset smartphone deco trading card luggage sticke "
"531","since work  home shows  sign  going away soon  could  use  supercharging tips  make    "
"532"," home  love work "
"533","yuta  home  work "
"534"," drive home  work  gonna fucking suuuuck   snow"
"535"," thing    re working  home    show  colleagues   bosses   re   w "
"536","work   home pls"
"537","bro  swear  plants     forget  say hi     come home  work"
"538","  ever feel  frustrated stressed  sick annoyed mad sad tired      end  cryin "
"539","  nothing  attractive   man coming home  work dirty  boots  cannot change  mind either   "
"540","work  home workers  full pay  home improvements whilst   lost  jobs furloughed "
"541"," occurred   working  home means  snow days   work    "
"542","yuta work  sungchan   home please"
"543","work  johnny  home yuta doyoung group"
"544","getting home  work like"
"545"," ve learnt  hard way   remotely update  smart home server  work"
"546","lol  m talking    company  re purchasing  home  lol  wo "
"547","school    homework  ugh  least  won   homework   m   boss    laptop  work "
"548"," start  new job tomorrow   m really already trying  figure    work  home   kid hates school  much"
"549","supreme court seeks biden doj views  work  home taxes"
"550","shout    price gouging   illegal  maryland   time  people  home  onli "
"551","yes    requirement   state   notice since dec th     st "
"552","interesting ruling  unfair dismissal compensation  worker  allowed  work  home  pandemic  "
"553","  indeed  started early enough      months working   like normal  many "
"554","super excited  go home  work    running water    truly cannot wait  move"
"555","  got home  work      love  great    back bob   "
"556","eh  ve  come home  work must ve got hacked  "
"557"," hate  mfs wanna shower   get home  work  worse   workout     "
"558"," hour get home  work   "
"559"," laptop fried last night   got   work   fil came home  work today   brand new one   "
"560","even  love  hasn   easy trying  coach teach one nd grader    difficult fo "
"561","  going   teachers stay home  work remotely tomorrow    retaliatory action  "
"562","storming outside new mattress half day work working  home wtf    deserve "
"563","ugh       nightmare never even made  home  evening  work went   road twic "
"564","  nothing  attractive   man coming home  work dirty  boots  cannot change  mind eith "
"565","  really scary   re super lucky  husband      work  home   girl "
"566","yea   wanted us  stay home lil bit  avoid  full lockdown people getting   outside  "
"567","  degree remote work looks    part  future   survey  gt c level executives amp senior public "
"568","  supervisor won  leave  alone   new work  home scheme tell  supervisor   "
"569"," want everyone  get vaccinated  work  home  ll wait   end  lightfoot implied teachers wer "
"570","job   week   scheduling administrator  customer service melbourne   flexible working  home arrangeme "
"571"," m lucky bc  love  alone amp  ve  able  work  home   st mos   school yr "
"572","oh  ll purposefully bring   work   m  working  home anymore    intend  bring h "
"573","got home  work like  hour ago haven  eaten cause well  m bad  eating   time  clean  feed som "
"574","matt treacy writes  gript  matt doesn  like irish brazilians   work  meat plants       cash  "
"575"," m  addicted   game   think  look forward   finishing work    m worki "
"576","  v v hard  work  home     room  work"
"577","   know  exact policy  school district "
"578"," got home  work    cold today gonna make something  dinner  watch  anime"
"579","probably   partner     plus working  home teaching  phd students   left   still "
"580"," m ignoring  work emails    sent  pm    emergencies  one needs  draw som "
"581","please  kind  others  must leave  homes  travel    work stay home stay safe save lives"
"582"," leave  work  find peace  home jokes   today  "
"583","afternoon work  home drama king  napping  larry  blanket   living room  closed  office door  let  old "
"584","amen  boys  high risk   ve  home  year   re also  wheelchairs  love  "
"585","   majority  people  work  home want  move "
"586","probably   partner     plus working  home teaching  phd students   left   "
"587","  say   never   lifetime thought  would   minute job interview  spanish get  job get pr "
"588"," numbers  real firmly   medical est amp scientific community  countries th "
"589","freelance data entry job online work  home"
"590"," hate lazy niggas  work like ilnigga  m  tired     want  go home  bad     stomach hur "
"591","  walk home  work  evening nice  see  enjoying  quiet pint   "
"592"," need mia  ftc  somehow legislate higher mb   assist     forced  work  home"
"593"," going home early  work   feel terrible    want cry"
"594"," love time  decompress  work   car listening  music  lets  switch  work mode  home mode"
"595","work  home   extended  july th"
"596"," got home  work feels like  arms    fall      good     one  "
"597","okay nevermind  unmotivated anymore  realized  forgot  meds  morning  also   got  interview fo "
"598","  email  district tells families  pre k  cluster students  keep  children home  schools tomorrow    "
"599","  half  people whose jobs  allowed    want  continue   putting pres "
"600"," really wish  could find  work  home job  really    want  leave  house everything makes   "
"601","got home  work early today    going live  opening top wl rewards huge team update   h "
"602","great thread suspect hr  actually increase jobs  people  work two hr jobs w "
"603","   m home  work   finally catch     tweets videos  memories             "
"604","   must find  way  work  home effectively   times"
"605","whoever  putting  ch potle ads   timeline  win fine  ll get    way home  work"
"606","  struggled  home schooling  re  alone       primary school headteacher  wrote  "
"607","  virtual  year ceo  joined  discuss  company  new products   "
"608","year  celebrating children  learning  displays  work  home   school   "
"609","took  bomb nap  coming home  work"
"610","work  home   build  public"
"611"," repeat  whole ride home  work crazy  tweeted  lol"
"612","     casamigos w  babies   way home  work tho     "
"613","okay    get sent home  work   m  wearing shoes  m blaming "
"614","proposed  additional hours  emergency paid leave  employees  cannot work  home due   "
"615"," kind  productive since  canme home  work  d   shame     get  itis   process"
"616","odorous battlefield moghur turd diarrhea   bottle great wall fart horse manure hemorrhoids munanimous horse e "
"617","  took  nine months   think  got  work school  home  control   "
"618"," ve  home  work  less  hour   already taken  recycling  showered put   load  la "
"619"," ones ever    get home  work       miss working day shifts   home "
"620","everybody wanna  slim thick    nobody wanna put   work   virtual training  person training mea "
"621","damnit   got home  work                                       "
"622"," better feeling  getting home   long day  work amp ripping  good shotgun"
"623","yayyy  m home  work            "
"624","  businesses  would allow  work  home  slow  u reliable internet connection makes  bad  business"
"625"," ll get   quote tomorrow  noon  post office   closed   time  get home  work tonight"
"626","lenice  home  work  hours   said  left  stuff  work chile  m   confused  girl  retarted"
"627","  learned today  double masking   thing    shouldn  wear gaiters also   good reason "
"628","    work   postcard book k k luggage sticker photocard set k k uniform acrylic charm pc set k  "
"629"," luv  u  postal service  ve  home  work  past weeks twice  job  sent  paperwork  need "
"630","  businesses  suggested working  home indefinitely many companies   likely choose  purs "
"631","   work  home"
"632","starting  july ish last year  made   habit  work   home gyms   closed    h "
"633","  absolutely stupid  half   didn  even  still     f king clue   lie "
"634","teacher  review  miami dade public schools teacher  sent home  work  week apparently    po "
"635","cps officials insist   person learning   necessary option   teachers union wants    reopening delayed  staff "
"636","new work  home achievement  cat started meowing  much   call   triggered  source  cat  also started "
"637","presently irritated   work  home business    programme  ll produce  potential buyers"
"638"," parents work  home    really matters"
"639"," m hungry    eat   get home  work  like hours   "
"640","  need  stop   track  biden stepped  basis  steal  parent  home    "
"641","   believe  wanted  come home  work  watch anime       isn  "
"642"," season  electric  tuesday  made work  home worth "
"643","  still time  register   next  return  work  volunteering  home  covid  beyond "
"644","  relief si dang gets  remain  home  us   fight  far    si  many immigrants amp refugees sti "
"645","  still take  snow day   work  home"
"646"," always feel   hoaz  rainy days like    boyfriends stay home cuddling   wives  worse  "
"647","everyone  favorite daddy  home  work lt"
"648","interesting irish equivalent   employment tribunal finds  worker  constructively dismissed   wasn  allowed "
"649","well home  work first day back full day went pretty well  tired amp sore still  gonna relax tonight  re "
"650","shes ok  tired     really awful     partner    nightmare people   "
"651","  nashville economy building     companies coming  way   work  home jobs   "
"652"," wait   work  home cause       "
"653","work  home   continue   said    never start   aunty"
"654","work  home jobs online data entry jobs freelance data entry jobs online jobs part time jobs"
"655","inches  still going    m heading   check roads  carus  drive home  work  go   barn "
"656","retweet  people getting home  work"
"657","people share  reality  workspace setups  working  home"
"658"," came home   dishes   didn  finish  ones  last night  torn  dog bed dog poop smeared ac "
"659","know  difference  people  value   people exploiting  value  someone won  pay    hard wor "
"660","   wait   days   get  come home  work  see  excited  kids    walk   door fut "
"661"," ve work  au bon pain   shit   bakery  either    took home   alw "
"662","lately    making dinner    hear  sister get home  work    sits   car   yard f "
"663","oh god   work like ish   feel like  spend  whole life  work     also  feel l "
"664"," many  attending virtually doesn   count pretty sure  order    work  home   c "
"665"," showers   get home  work hit different"
"666","    going  get        said     made  day driving home  work"
"667","funny     crush  work  home    "
"668","   work  home tho    work  always     asthma   "
"669","study bothell ranks  best city  washington  work  home"
"670","nah  love oh every time  roommate comes home  work  gets supper excited  runs   door  hug       "
"671","  ready backup home internet plan   seamless work  learn  home set   details  "
"672"," studio  three bedroom floor plans  lake meadows  ll  sure  find  perfect apartment  meet  "
"673","every day  wonder   retail service workers     top   list  vaccinations  many  know  g "
"674","life  worth     get home  work  go  bed   two cats sleep next     nothing quite like "
"675","flashback       friends house   first day  online school     didnt know  wasnt  "
"676","lately    making dinner    hear  sister get home  work    sits   car   yard "
"677","  dog next     work  home gt gt gt gt gt gt gt gt gt gt        "
"678"," come home  work like    eat something   like eat   like  dont feel like cooking   "
"679","yesterday  bf    pretty hung     work  home     day    man watched b "
"680"," makestar albums  coming today yay   wont  home  work  another hrs     "
"681"," company said  work  home anyway let  get   heavier one"
"682","tough choice  think  grohe red wins      perfect work  home accessory move  kettle"
"683","got  work  home job  im going   able  go  school  also move   keep creating  fuckin lo "
"684"," progressive work  home commercials   funny lol"
"685","got home  work sat silently   dark  eating  brownie productivity"
"686","yessssss taste  ve  playing    m home  work    "
"687"," far    ll always prefer working  home   work   stuff get shit  around  house  "
"688","thanks  m home  work    "
"689","still another reason  work  home"
"690","thinking ab  fact    came home  work   broke    let  cuddle    fell asleep   left "
"691","within minutes  getting home  work   one  two things change   work  clothes  go    "
"692","funny  m  county public utility worker  wastewater  work  home  us"
"693","anyone else forget  put crystals   bra got home  work n took mine    fell n hit  floor      "
"694","teacher  review  miami dade public schools teacher  sent home  work  week apparently   "
"695","thousands  work  home permanently  top turkish conglomerate"
"696","e hey mikasa    suddenly ran  school  home   left  gas  maybe  bathroo  m  "
"697"," tempted      next working  home zoom staff meeting later   week hilarious serio "
"698"," got home  work   m burned  like  mofo  m   knock  despite  like shots  espresso throughout  day"
"699"," need another work  home job  "
"700","   since  work  home  quit wearing mine"
"701"," entered  win  free family meal simply  telling us   comments       love  work "
"702","quick reminder   camera   means others including  teacher  see  students amp  living situ "
"703","   mostly work  home"
"704"," roommates  sleep   come home  work   week  need somebody excited   m home   doggy    need     "
"705","turns   m home  work   boy   lease     re straight  hanging"
"706"," anyone else call  mom   way home  work school every day   "
"707"," thinkkkkk ima pack  shit  work  home  shacoby house tomorrow   "
"708"," love  sister  nephew   hate   comes home  work"
"709","bailey   got  spend  whole day together   worked  home  even surprised mama   lunch date "
"710","  lighting  candle  soon   get home  work  praying    family   father       "
"711"," team actually works remotely   skin   game  work  home nationalism"
"712"," softness   high rise condo market due   pandemic work  home  get worse   "
"713","   teaching virtually  home since march  third grade students need  see  model  "
"714"," know someone  works  home  occasionally   go   "
"715","crying   work day   least  work  home"
"716","check  utilising  simply  approach   fortunate  get      full time job  work fr "
"717","  obvious  thank   saying   save  people headaches also    standard "
"718","came home  work        dude  knows  got   penguin  heart   handle "
"719","whole time   way home  work  m like    oncoming traffic   weird something  wrong  "
"720"," doggo brings   favorite toy   get home  work amp    favorite part   day      "
"721","well  delivered  package  won   home  work  another seven hours  wagers   whethe "
"722","  used  try sleep   mum gets home  work cause school told    acting "
"723","anybody else run   room  soon   dad get home  work  jus "
"724"," m  sure   single dad   city   family    job  one week  vacation  one week  "
"725"," parents   work  home     mean  size"
"726","   think building new offices  daft     re wrong     still need "
"727","reliably  securely connect  users  business critical applications   even   re working  home wat "
"728","  crying   way home  work today lol"
"729","cps officials insist   person learning   necessary option   teachers union wants    reopening delay "
"730"," got home  work  took   make   right away   feel pretty lol"
"731"," d really like  come home  work   downloaded game"
"732","lmao   feel    people  work  home"
"733"," know    happened   halloween stuff  ffxiv  example    harder  mak "
"734","  home recovering   holiday work party     "
"735"," didn  know  much  pain could go    worked  home  showering  rushing  get dressed meant  "
"736","free   shackles  work academia time  go home    academia class"
"737","  apply  amazon work  home jobs"
"738","joke     work  home"
"739","medical coding jobs  home  lexicode get remote medical coding jobs  "
"740","  approach  year  lockdown      managed  successfully work  home  years    never w "
"741","ive  thinking  emotional skills alot lately   watch  new emotio "
"742","tomorrow   end   work  home lunch break    next zoom meeting      join   "
"743","really enjoyed  session   academy well done lads great camera work    plyome "
"744"," way someone ran   road  front     way home  work self fulfilling prophecy teas"
"745","   work  home         work   anfield         theres  body allowed         go back  work  anfield"
"746","work  home  earn daily weekly amp monthly make   weekly  home  hidde "
"747"," sure   long way home  work"
"748","starting  july ish last year  made   habit  work   home gyms   closed    "
"749"," watched  video   train back home  work  yeah    bit like         "
"750","check  using simply   process   happy  get      permenant job  simply work fr "
"751","today  learned    listen   glee cover    jazz exactly times  repeat   walk home  work"
"752"," companies need  let people   work  home work  home"
"753","man    healthy loving relationship  wild like  m excited   man  get home  work  tell  "
"754"," nurses  doctors    work  home teachers   option    see anyone else complaining  "
"755","equipping employees  work  home  enabled organizations across  country  maintain operations througho "
"756","years  eating pret  lunch  due  covid   work  home  never   walk   "
"757"," aps  much different  education    "
"758","well guys  forgot   maintenance tonight    time  get home  work  would   able   li "
"759"," hope tomorrow    office worker   decided  work  home   second home   south  spain "
"760","  kihno bearing dhl driver arrived yet     suspense  killing     got  notif  arrived  m abou "
"761","  struggle  allocating chores   home find   one mom went   typical sticker chart   method  "
"762","flowing    every pore  texted jimin     news  sent  waited    answer    kind "
"763"," m still bothered   time  friend  roommate came home  work  said  needs  tv   new fantano video dropped"
"764","work  home    "
"765","   pushed back  est  aster needs time  get home  work"
"766","seems  people arguing masks work pro lockdowns closed schools  elite professionals    happily wor "
"767","yes  zoom   platform  use  work x    haven  found  good solution fro "
"768","  re working  home    tough  find purpose   role   try  tips  gain meaning  "
"769","im omw home  work yall better     mischief gt"
"770"," like   get  work  home    make casual blueberry muffins   middle   day"
"771","planning   new year natural gas   affordable way  heat  home  water  work  energy trust "
"772","finally home  relaxing went   store  work bc  forgot  stuff  friday  went back    "
"773"," would never let folks work  home either   completely web based company   thing  pleases "
